name	dataaddr	tableaddr	sizey	sizex	type	category
A/F #3 CL Target Compensation Limits	69c34		2		2D	Fueling - AF Correction / Learning
A/F #3 Correction Limits	6a724		2		2D	Fueling - AF Correction / Learning
(P000A) CAMSHAFT POS. A - TIMING SLOW RESPONSE BANK 1	124e2c		1		Switch	Diagnostic Trouble Codes
(P000B) CAMSHAFT POS. B - TIMING SLOW RESPONSE BANK 1	124e38		1		Switch	Diagnostic Trouble Codes
(P000C) CAMSHAFT POS. A - TIMING SLOW RESPONSE BANK 2	124e44		1		Switch	Diagnostic Trouble Codes
(P000D) CAMSHAFT POS. B - TIMING SLOW RESPONSE BANK 2	124e50		1		Switch	Diagnostic Trouble Codes
(P0010) CAMSHAFT POS. A ACTUATOR CIRCUIT 1	124fe8		1		Switch	Diagnostic Trouble Codes
(P0011) CAMSHAFT POS. A - TIMING OVER-ADVANCED 1	1248f8		1		Switch	Diagnostic Trouble Codes
(P0013) CAMSHAFT POS. B ACTUATOR CIRCUIT / OPEN 1	125000		1		Switch	Diagnostic Trouble Codes
(P0014) EXHAUST AVCS SYSTEM 1 RANGE/PERF	124c10		1		Switch	Diagnostic Trouble Codes
(P0016) CRANKSHAFT/CAMSHAFT CORRELATION 1A	124bf8		1		Switch	Diagnostic Trouble Codes
(P0017) CRANK/CAM TIMING B FAILURE 1	124c34		1		Switch	Diagnostic Trouble Codes
(P0018) CRANKSHAFT/CAMSHAFT CORRELATION 2A	124bec		1		Switch	Diagnostic Trouble Codes
(P0019) CRANK/CAM TIMING B FAILURE 2	124c28		1		Switch	Diagnostic Trouble Codes
(P0020) CAMSHAFT POS. A ACTUATOR CIRCUIT 2	124ff4		1		Switch	Diagnostic Trouble Codes
(P0021) CAMSHAFT POS. A - TIMING OVER-ADVANCED 2	124904		1		Switch	Diagnostic Trouble Codes
(P0023) CAMSHAFT POS. B ACTUATOR CIRCUIT / OPEN 2	12500c		1		Switch	Diagnostic Trouble Codes
(P0024) EXHAUST AVCS SYSTEM 2 RANGE/PERF	124c04		1		Switch	Diagnostic Trouble Codes
(P0030) FRONT O2 SENSOR RANGE/PERF	124a6c		1		Switch	Diagnostic Trouble Codes
(P0031) FRONT O2 SENSOR LOW INPUT	1249f4		1		Switch	Diagnostic Trouble Codes
(P0032) FRONT O2 SENSOR HIGH INPUT	1249dc		1		Switch	Diagnostic Trouble Codes
(P0037) REAR O2 SENSOR LOW INPUT	1249e8		1		Switch	Diagnostic Trouble Codes
(P0038) REAR O2 SENSOR HIGH INPUT	1249d0		1		Switch	Diagnostic Trouble Codes
(P0068) MAP SENSOR RANGE/PERF	124a48		1		Switch	Diagnostic Trouble Codes
(P0071) AMBIENT AIR TEMP SENSOR RANGE / PERFORMANCE	1248b0		1		Switch	Diagnostic Trouble Codes
(P0072) AMBIENT AIR TEMP SENSOR LOW INPUT	1248c8		1		Switch	Diagnostic Trouble Codes
(P0073) AMBIENT AIR TEMP SENSOR HIGH INPUT	1248bc		1		Switch	Diagnostic Trouble Codes
(P0087) FUEL RAIL / SYSTEM PRESSURE TOO LOW	124f34		1		Switch	Diagnostic Trouble Codes
(P0088) FUEL RAIL / SYSTEM PRESSURE TOO HIGH	124f40		1		Switch	Diagnostic Trouble Codes
(P0101) MAF SENSOR RANGE/PERF	124a54		1		Switch	Diagnostic Trouble Codes
(P0102) MAF SENSOR LOW INPUT	1247b4		1		Switch	Diagnostic Trouble Codes
(P0103) MAF SENSOR HIGH INPUT	1247c0		1		Switch	Diagnostic Trouble Codes
(P0107) MAP SENSOR LOW INPUT	124a00		1		Switch	Diagnostic Trouble Codes
(P0108) MAP SENSOR HIGH INPUT	124a0c		1		Switch	Diagnostic Trouble Codes
(P0111) IAT SENSOR RANGE/PERF	1249c4		1		Switch	Diagnostic Trouble Codes
(P0112) IAT SENSOR LOW INPUT	1249ac		1		Switch	Diagnostic Trouble Codes
(P0113) IAT SENSOR HIGH INPUT	1249b8		1		Switch	Diagnostic Trouble Codes
(P0116) ENGINE COOLANT TEMPERATURE CIRCUIT RANGE / PERFORMANCE PROBLEM	124ea4		1		Switch	Diagnostic Trouble Codes
(P0117) COOLANT TEMP SENSOR LOW INPUT	124820		1		Switch	Diagnostic Trouble Codes
(P0118) COOLANT TEMP SENSOR HIGH INPUT	12482c		1		Switch	Diagnostic Trouble Codes
(P0122) TPS A LOW INPUT	124808		1		Switch	Diagnostic Trouble Codes
(P0123) TPS A HIGH INPUT	124814		1		Switch	Diagnostic Trouble Codes
(P0125) INSUFFICIENT COOLANT TEMP (FUELING)	124838		1		Switch	Diagnostic Trouble Codes
(P0128) THERMOSTAT MALFUNCTION	124a18		1		Switch	Diagnostic Trouble Codes
(P0131) FRONT O2 SENSOR LOW INPUT	124988		1		Switch	Diagnostic Trouble Codes
(P0132) FRONT O2 SENSOR HIGH INPUT	124994		1		Switch	Diagnostic Trouble Codes
(P0133) FRONT O2 SENSOR SLOW RESPONSE	124934		1		Switch	Diagnostic Trouble Codes
(P0134) FRONT O2 SENSOR NO ACTIVITY	124a60		1		Switch	Diagnostic Trouble Codes
(P0137) REAR O2 SENSOR LOW VOLTAGE	12497c		1		Switch	Diagnostic Trouble Codes
(P0138) REAR O2 SENSOR HIGH VOLTAGE	1249a0		1		Switch	Diagnostic Trouble Codes
(P013A) O2 SENSOR SLOW RESPONSE RICH TO LEAN B1 S2	124dd8		1		Switch	Diagnostic Trouble Codes
(P013B) O2 SENSOR SLOW RESPONSE LEAN TO RICH B1 S2	124dcc		1		Switch	Diagnostic Trouble Codes
(P013E) O2 SENSOR DELAYED RESPONSE RICH TO LEAN B1 S2	124dc0		1		Switch	Diagnostic Trouble Codes
(P013F) O2 SENSOR DELAYED RESPONSE LEAN TO RICH B1 S2	124db4		1		Switch	Diagnostic Trouble Codes
(P0140) REAR O2 SENSOR NO ACTIVITY	1251f8		1		Switch	Diagnostic Trouble Codes
(P0141) REAR O2 SENSOR MALFUNCTION	124928		1		Switch	Diagnostic Trouble Codes
(P014C) O2 SENSOR SLOW RESPONSE RICH TO LEAN B1 S1	124d48		1		Switch	Diagnostic Trouble Codes
(P014D) O2 SENSOR SLOW RESPONSE LEAN TO RICH B1 S1	124d3c		1		Switch	Diagnostic Trouble Codes
(P015A) O2 SENSOR DELAYED RESPONSE RICH TO LEAN B1 S1	124d30		1		Switch	Diagnostic Trouble Codes
(P015B) O2 SENSOR DELAYED RESPONSE LEAN TO RICH B1 S1	124d24		1		Switch	Diagnostic Trouble Codes
(P0171) SYSTEM TOO LEAN	124964		1		Switch	Diagnostic Trouble Codes
(P0172) SYSTEM TOO RICH	124970		1		Switch	Diagnostic Trouble Codes
(P0191) FUEL RAIL PRESSURE SENSOR CIRCUIT RANGE/PERFORMANCE	125018		1		Switch	Diagnostic Trouble Codes
(P0192) FUEL RAIL PRESSURE SENSOR CIRCUIT LOW INPUT	124f88		1		Switch	Diagnostic Trouble Codes
(P0193) FUEL RAIL PRESSURE SENSOR CIRCUIT HIGH INPUT	124f94		1		Switch	Diagnostic Trouble Codes
(P0196) OIL TEMP SENSOR RANGE/PERF	124b80		1		Switch	Diagnostic Trouble Codes
(P0197) OIL TEMP SENSOR LOW	124b68		1		Switch	Diagnostic Trouble Codes
(P0198) OIL TEMP SENSOR HIGH	124b8c		1		Switch	Diagnostic Trouble Codes
(P0201) INJECTOR CIRCUIT / OPEN - CYLINDER 1	124c40		1		Switch	Diagnostic Trouble Codes
(P0202) INJECTOR CIRCUIT / OPEN - CYLINDER 2	124c64		1		Switch	Diagnostic Trouble Codes
(P0203) INJECTOR CIRCUIT / OPEN - CYLINDER 3	124c58		1		Switch	Diagnostic Trouble Codes
(P0204) INJECTOR CIRCUIT / OPEN - CYLINDER 4	124c4c		1		Switch	Diagnostic Trouble Codes
(P0222) TPS B LOW INPUT	124a84		1		Switch	Diagnostic Trouble Codes
(P0223) TPS B HIGH INPUT	124a90		1		Switch	Diagnostic Trouble Codes
(P0230) FUEL PUMP PRIMARY CIRCUIT	124a3c		1		Switch	Diagnostic Trouble Codes
(P0327) KNOCK SENSOR 1 LOW INPUT	1247f0		1		Switch	Diagnostic Trouble Codes
(P0328) KNOCK SENSOR 1 HIGH INPUT	1247fc		1		Switch	Diagnostic Trouble Codes
(P0332) KNOCK SENSOR 2 LOW INPUT	1247d8		1		Switch	Diagnostic Trouble Codes
(P0333) KNOCK SENSOR 2 HIGH INPUT	1247e4		1		Switch	Diagnostic Trouble Codes
(P0335) CRANKSHAFT POS. SENSOR A MALFUNCTION	124790		1		Switch	Diagnostic Trouble Codes
(P0336) CRANKSHAFT POS. SENSOR A RANGE/PERF	12479c		1		Switch	Diagnostic Trouble Codes
(P0340) CAMSHAFT POS. SENSOR A MALFUNCTION	124b50		1		Switch	Diagnostic Trouble Codes
(P0341) CAMSHAFT POS. SENSOR A RANGE/PERF	124f28		1		Switch	Diagnostic Trouble Codes
(P0345) CAMSHAFT POS. SENSOR A BANK 2	124b44		1		Switch	Diagnostic Trouble Codes
(P0346) CAMSHAFT POS. SENSOR A RANGE/PERF BANK 2	124f1c		1		Switch	Diagnostic Trouble Codes
(P0351) IGNITION COIL A PRIMARY / SECONDARY CIRCUIT	124e20		1		Switch	Diagnostic Trouble Codes
(P0352) IGNITION COIL B PRIMARY / SECONDARY CIRCUIT	124e14		1		Switch	Diagnostic Trouble Codes
(P0353) IGNITION COIL C PRIMARY / SECONDARY CIRCUIT	124e08		1		Switch	Diagnostic Trouble Codes
(P0354) IGNITION COIL D PRIMARY / SECONDARY CIRCUIT	124dfc		1		Switch	Diagnostic Trouble Codes
(P0365) CAMSHAFT POS. SENSOR B BANK 1	124b38		1		Switch	Diagnostic Trouble Codes
(P0366) CAMSHAFT POS. SENSOR B RANGE / PERFORMANCE BANK 1	124f10		1		Switch	Diagnostic Trouble Codes
(P0390) CAMSHAFT POS. SENSOR B BANK 2	124b2c		1		Switch	Diagnostic Trouble Codes
(P0391) CAMSHAFT POS. SENSOR B RANGE / PERFORMANCE BANK 2	124f04		1		Switch	Diagnostic Trouble Codes
(P0420) CAT EFFICIENCY BELOW THRESHOLD	124940		1		Switch	Diagnostic Trouble Codes
(P0441) EVAP INCORRECT PURGE FLOW	124d84		1		Switch	Diagnostic Trouble Codes
(P0455) EVAP LEAK DETECTED (GROSS LEAK)	124d6c		1		Switch	Diagnostic Trouble Codes
(P0456) EVAP LEAK DETECTED (VERY SMALL)	12494c		1		Switch	Diagnostic Trouble Codes
(P0458) EVAP PURGE VALVE CIRCUIT LOW	124910		1		Switch	Diagnostic Trouble Codes
(P0459) EVAP PURGE VALVE CIRCUIT HIGH	12491c		1		Switch	Diagnostic Trouble Codes
(P0461) FUEL LEVEL SENSOR RANGE/PERF	12485c		1		Switch	Diagnostic Trouble Codes
(P0462) FUEL LEVEL SENSOR LOW INPUT	124844		1		Switch	Diagnostic Trouble Codes
(P0463) FUEL LEVEL SENSOR HIGH INPUT	124850		1		Switch	Diagnostic Trouble Codes
(P0506) IDLE CONTROL RPM LOWER THAN EXPECTED	1248e0		1		Switch	Diagnostic Trouble Codes
(P0507) IDLE CONTROL RPM HIGH THAN EXPECTED	1248ec		1		Switch	Diagnostic Trouble Codes
(P050A) COLD START IDLE AIR CONTROL SYSTEM PERFORMANCE	124cd0		1		Switch	Diagnostic Trouble Codes
(P050B) COLD START IGNITION TIMING PERFORMANCE	124cc4		1		Switch	Diagnostic Trouble Codes
(P050E)	124c1c		1		Switch	Diagnostic Trouble Codes
(P0512) STARTER REQUEST CIRCUIT	124e5c		1		Switch	Diagnostic Trouble Codes
(P0516)	124bc8		1		Switch	Diagnostic Trouble Codes
(P0517)	124bbc		1		Switch	Diagnostic Trouble Codes
(P0560) SYSTEM VOLTAGE	124e98		1		Switch	Diagnostic Trouble Codes
(P0562) SYSTEM VOLTAGE LOW	124a24		1		Switch	Diagnostic Trouble Codes
(P0563) SYSTEM VOLTAGE HIGH	124a30		1		Switch	Diagnostic Trouble Codes
(P0604) CONTROL MODULE RAM ERROR	1247a8		1		Switch	Diagnostic Trouble Codes
(P0605) CONTROL MODULE ROM ERROR	124b5c		1		Switch	Diagnostic Trouble Codes
(P0606) ECM/PCM PROCESSOR	124eec		1		Switch	Diagnostic Trouble Codes
(P060A) CONTROL MODULE MONITORING PROCESSOR	124ed4		1		Switch	Diagnostic Trouble Codes
(P060B) CONTROL MODULE A/D PROCESSING	124ec8		1		Switch	Diagnostic Trouble Codes
(P0616) STARTER RELAY CIRCUIT LOW	124e68		1		Switch	Diagnostic Trouble Codes
(P0617) STARTER RELAY CIRCUIT HIGH	124e74		1		Switch	Diagnostic Trouble Codes
(P062D) FUEL INJECTOR 1 DRIVER CIRCUIT PERFORMANCE	124f4c		1		Switch	Diagnostic Trouble Codes
(P062F) CONTROL MODULE EEPROM ERROR	124ebc		1		Switch	Diagnostic Trouble Codes
(P065A) GENERATOR SYSTEM PERFORMANCE	1251bc		1		Switch	Diagnostic Trouble Codes
(P0685) ECM/PCM POWER RELAY CONTROL CIRCUIT / OPEN	1248d4		1		Switch	Diagnostic Trouble Codes
(P0700) TRANSMISSION CONTROL SYSTEM	124b74		1		Switch	Diagnostic Trouble Codes
(P081A) STARTER DISABLE CIRCUIT LOW	124eb0		1		Switch	Diagnostic Trouble Codes
(P0851) NEUTRAL SWITCH INPUT LOW	124868		1		Switch	Diagnostic Trouble Codes
(P0852) NEUTRAL SWITCH INPUT HIGH	124874		1		Switch	Diagnostic Trouble Codes
(P0A3B) GENERATOR OVER TEMPERATURE	1251c8		1		Switch	Diagnostic Trouble Codes
(P1109) THROTTLE DEPOSIT MALFUNCTION	124fdc		1		Switch	Diagnostic Trouble Codes
(P1160) ABNORMAL RETURN SPRING	124a9c		1		Switch	Diagnostic Trouble Codes
(P1170) PORT INJECTOR FUEL PERFORMANCE	124fb8		1		Switch	Diagnostic Trouble Codes
(P117B) DIRECT INJECTOR FUEL PERFORMANCE	124fac		1		Switch	Diagnostic Trouble Codes
(P1192) FUEL RAIL PRESSURE SENSOR B CIRCUIT LOW INPUT	12512c		1		Switch	Diagnostic Trouble Codes
(P1193) FUEL RAIL PRESSURE SENSOR B CIRCUIT HIGH INPUT	125138		1		Switch	Diagnostic Trouble Codes
(P119E) BANK 1 AFR IMBALANCE FOR PORT INJECTION	124958		1		Switch	Diagnostic Trouble Codes
(P119F) BANK 1 AFR IMBALANCE FOR DIRECT INJECTION	124bd4		1		Switch	Diagnostic Trouble Codes
(P1235) HIGH PRESSURE FUEL PUMP CIRCUIT	124fa0		1		Switch	Diagnostic Trouble Codes
(P1261) DI INJECTOR CIRCUIT / OPEN - CYLINDER 1	124f58		1		Switch	Diagnostic Trouble Codes
(P1262) DI INJECTOR CIRCUIT / OPEN - CYLINDER 2	124f64		1		Switch	Diagnostic Trouble Codes
(P1263) DI INJECTOR CIRCUIT / OPEN - CYLINDER 3	124f70		1		Switch	Diagnostic Trouble Codes
(P1264) DI INJECTOR CIRCUIT / OPEN - CYLINDER 4	124f7c		1		Switch	Diagnostic Trouble Codes
(P1449) EVAPORATIVE EMISSION CONT. SYS. AIR FILTER CLOG	124d60		1		Switch	Diagnostic Trouble Codes
(P1451) EVAPORATIVE EMISSION CONT. SYS.	124d54		1		Switch	Diagnostic Trouble Codes
(P1530) BATTERY CURRENT SENSOR CIRCUIT (LOW)	124bb0		1		Switch	Diagnostic Trouble Codes
(P1531) BATTERY CURRENT SENSOR CIRCUIT (HIGH)	124ba4		1		Switch	Diagnostic Trouble Codes
(P1532) CHARGING CONTROL SYSTEM	124b98		1		Switch	Diagnostic Trouble Codes
(P1603) ENGINE STALL HISTORY	124fc4		1		Switch	Diagnostic Trouble Codes
(P1604) STARTABILITY MALFUNCTION	124fd0		1		Switch	Diagnostic Trouble Codes
(P1C00) BATTERY MONITOR MODULE A PERFORMANCE	12515c		1		Switch	Diagnostic Trouble Codes
(P2096) POST CATALYST TOO LEAN B1	124acc		1		Switch	Diagnostic Trouble Codes
(P2097) POST CATALYST TOO RICH B1	124b20		1		Switch	Diagnostic Trouble Codes
(P2101) THROTTLE ACTUATOR CIRCUIT RANGE/PERF	124ac0		1		Switch	Diagnostic Trouble Codes
(P2102) THROTTLE ACTUATOR CIRCUIT LOW	124aa8		1		Switch	Diagnostic Trouble Codes
(P2103) THROTTLE ACTUATOR CIRCUIT HIGH	124ab4		1		Switch	Diagnostic Trouble Codes
(P2109) TPS A MINIMUM STOP PERF	124a78		1		Switch	Diagnostic Trouble Codes
(P2119) THROTTLE BODY RANGE / PERFORMANCE	124ef8		1		Switch	Diagnostic Trouble Codes
(P2122) TPS D CIRCUIT LOW INPUT	124afc		1		Switch	Diagnostic Trouble Codes
(P2123) TPS D CIRCUIT HIGH INPUT	124b08		1		Switch	Diagnostic Trouble Codes
(P2127) TPS E CIRCUIT LOW INPUT	124ae4		1		Switch	Diagnostic Trouble Codes
(P2128) TPS E CIRCUIT HIGH INPUT	124af0		1		Switch	Diagnostic Trouble Codes
(P2135) TPS A/B VOLTAGE	124b14		1		Switch	Diagnostic Trouble Codes
(P2138) TPS D/E VOLTAGE	124ad8		1		Switch	Diagnostic Trouble Codes
(P2158) VEHICLE SPEED SENSOR B	124880		1		Switch	Diagnostic Trouble Codes
(P2195) O2 SENSOR SIGNAL STUCK LEAN B1 S1	124e8c		1		Switch	Diagnostic Trouble Codes
(P2196) O2 SENSOR SIGNAL STUCK RICH B1 S1	124e80		1		Switch	Diagnostic Trouble Codes
(P219A) BANK 1 AFR IMBALANCE	124d90		1		Switch	Diagnostic Trouble Codes
(P2270) O2 SENSOR SIGNAL STUCK LEAN B1 S2	12488c		1		Switch	Diagnostic Trouble Codes
(P2271) O2 SENSOR SIGNAL STUCK RICH B1 S2	124898		1		Switch	Diagnostic Trouble Codes
(P2401) EVAP LEAK DETECTION PUMP CONTROL CIRCUIT LOW	124d00		1		Switch	Diagnostic Trouble Codes
(P2402) EVAP LEAK DETECTION PUMP CONTROL CIRCUIT HIGH	124da8		1		Switch	Diagnostic Trouble Codes
(P2404) EVAP LEAK DETECTION PUMP SENSE CIRCUIT RANGE/PERFORMANCE	124d9c		1		Switch	Diagnostic Trouble Codes
(P2419) EVAP SWITCHING VALVE LOW	124cf4		1		Switch	Diagnostic Trouble Codes
(P2420) EVAP SWITCHING VALVE HIGH	124ce8		1		Switch	Diagnostic Trouble Codes
(P24B9)	124d78		1		Switch	Diagnostic Trouble Codes
(P24BA)	124d18		1		Switch	Diagnostic Trouble Codes
(P24BB)	124d0c		1		Switch	Diagnostic Trouble Codes
(P2530) IGNITION SWITCH RUN POSITION CIRCUIT	1248a4		1		Switch	Diagnostic Trouble Codes
(P2610) ECM/PCM INTERNAL ENGINE OFF TIMER PERFORMANCE	124cdc		1		Switch	Diagnostic Trouble Codes
(C1571)	124c7c		1		Switch	Diagnostic Trouble Codes
(C1572)	124c70		1		Switch	Diagnostic Trouble Codes
(C1576)	1247cc		1		Switch	Diagnostic Trouble Codes
(C1577)	125024		1		Switch	Diagnostic Trouble Codes
(C1578)	124ee0		1		Switch	Diagnostic Trouble Codes
(U0073) CAN COMMUNICATION BUS A OFF	124cb8		1		Switch	Diagnostic Trouble Codes
(U0077) LIN COMMUNICATION BUS ECM/PCM OFF	125144		1		Switch	Diagnostic Trouble Codes
(U0101) CAN LOST COMMUNICATION WITH TCM	124c94		1		Switch	Diagnostic Trouble Codes
(U0122) CAN LOST COMMUNICATION WITH VDC	124cac		1		Switch	Diagnostic Trouble Codes
(U0155) LOST COMMUNICATION WITH INSTRUMENT PANEL CLUSTER (IPC) CONTROL MODULE	124df0		1		Switch	Diagnostic Trouble Codes
(U0402) CAN INVALID DATA RECEIVED FROM TCM	124c88		1		Switch	Diagnostic Trouble Codes
(U0416) CAN INVALID DATA RECEIVED FROM VDC	124ca0		1		Switch	Diagnostic Trouble Codes
(U0423) INVALID DATA RECEIVED FROM INSTRUMENT PANEL CLUSTER CONTROL MODULE	124de4		1		Switch	Diagnostic Trouble Codes
(U1712) LOST LIN COMMUNICATION WITH BATTERY 1 MONITOR MODULE	125150		1		Switch	Diagnostic Trouble Codes
(U171F) LOST LIN COMMUNICATION WITH GENERATOR	125168		1		Switch	Diagnostic Trouble Codes
Launch Control Disable Speed			1		2D	Launch Control/FFS
Launch Control RPM Delta			1		2D	Launch Control/FFS
Flat-Foot Shift RPM Delta			1		2D	Launch Control/FFS
DiPi Fueling ECT Unknown 18					2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 19					2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 20					2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 21					2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 22					2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 23					2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 24					2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 25					2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 26					2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 27					3D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 28 A					2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 29 A					2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 28 B					2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 29 B					2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 28 C					2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 29 C					2D	Fueling - Closed Loop
CL Fueling Target Compensation (Load)			10	13	3D	Fueling - Closed Loop
CL Fueling Target Compensation (Load)(MT)			10	13	3D	Fueling - Closed Loop
CL Fueling Target Compensation (Load)(AT)			10	13	3D	Fueling - Closed Loop
CL Fueling Target Compensation D (Load)			11	11	3D	Fueling - Closed Loop
CL Fueling Target Compensation Imm. Cruise (ECT)			3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation Imm. Non-Cruise (ECT)			3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation (ECT)			3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation A (ECT)(MT)			3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation A (ECT)(AT)			3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation B (ECT)(MT)			3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation B (ECT)(AT)			3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation (ECT) 			16		2D	Fueling - Closed Loop
CL to OL Delay			9		2D	Fueling - CL/OL Transition
CL to OL Delay 			1		2D	Fueling - CL/OL Transition
CL to OL Delay/Switch SI-DRIVE Intelligent			1		2D	Fueling - CL/OL Transition
CL to OL Delay (Atm. Pressure)			7		2D	Fueling - CL/OL Transition
CL to OL Delay A (Atm. Pressure)			7		2D	Fueling - CL/OL Transition
CL to OL Delay B (Atm. Pressure)			7		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay (Throttle)			16		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay (Accelerator)			16		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay A (Throttle)			16		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay B (Throttle)			16		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay C (Throttle)			16		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay Throttle Hysteresis			1		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay A (Base Pulse Width)			16		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay B (Base Pulse Width)			16		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay C (Base Pulse Width)			16		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay BPW Hysteresis			1		2D	Fueling - CL/OL Transition
CL to OL Transition Counter Step Value (MAF)			10		2D	Fueling - CL/OL Transition
CL Delay Period			3		2D	Fueling - CL/OL Transition
CL Delay Maximum (EGT)			2		2D	Fueling - CL/OL Transition
CL Delay Maximum (Throttle)			1		2D	Fueling - CL/OL Transition
CL Maximum Vehicle Speed			2		2D	Fueling - CL/OL Transition
CL Delay Minimum (ECT)			1		2D	Fueling - CL/OL Transition
CL Delay Maximum (Engine Load)			2		2D	Fueling - CL/OL Transition
CL Delay Engine Load Counter Threshold			1		2D	Fueling - CL/OL Transition
CL Delay Maximum Engine Speed (Per Gear)(MT)			10		2D	Fueling - CL/OL Transition
CL Delay Maximum Engine Speed (Per Gear)(AT)			10		2D	Fueling - CL/OL Transition
CL Delay Maximum Engine Speed (Neutral)			2		2D	Fueling - CL/OL Transition
CL Delay Maximum Engine Speed A			2		2D	Fueling - CL/OL Transition
CL Delay Maximum Engine Speed B			1		2D	Fueling - CL/OL Transition
CL Delay Engine Speed B Counter Threshold			1		2D	Fueling - CL/OL Transition
CL Delay Maximum (Throttle) A			1		2D	Fueling - CL/OL Transition
CL Delay Throttle A Counter Threshold			1		2D	Fueling - CL/OL Transition
CL Delay Maximum (Throttle) B (ECT)			16		2D	Fueling - CL/OL Transition
CL Delay Throttle Atm. Pressure Thresholds			2		2D	Fueling - CL/OL Transition
CL Delay Maximum (Throttle) (Low Atm. Pressure)			2		2D	Fueling - CL/OL Transition
CL Delay Maximum (Throttle) (High Atm. Pressure)			2		2D	Fueling - CL/OL Transition
Per Injector Primary Fuel Offset Compensation A			14	8	3D	Fueling - Port Injectors
Per Injector Primary Fuel Offset Compensation B			14	8	3D	Fueling - Port Injectors
Per Injector Primary Fuel Offset Compensation C			14	8	3D	Fueling - Port Injectors
Per Injector Primary Fuel Offset Compensation D			14	8	3D	Fueling - Port Injectors
Per Injector Primary Fuel Offset Compensation A 			7	8	3D	Fueling - Port Injectors
Per Injector Primary Fuel Offset Compensation B 			7	8	3D	Fueling - Port Injectors
Per Injector Primary Fuel Offset Compensation C 			7	8	3D	Fueling - Port Injectors
Per Injector Primary Fuel Offset Compensation D 			7	8	3D	Fueling - Port Injectors
Throttle Tip-in Enrichment			18		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation (Boost Error)			9		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation (ECT)			16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation D (ECT) 			16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation D (ECT) Activation 			1		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Applied Counter Threshold			1		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Throttle Cumulative Threshold			1		2D	Fueling - Tip-in Enrichment
A/F #3 Learning Limits			2		2D	Fueling - AF Correction / Learning
Cranking Fuel Injector Pulse Width A (ECT)			3	16	3D	Fueling - Cranking
Cranking Fuel Injector Pulse Width C (ECT)			2	16	3D	Fueling - Cranking
Cranking Fuel Injector Pulse Width D (ECT)			2	16	3D	Fueling - Cranking
Cranking Fuel Injector Pulse Width G (ECT)			2	16	3D	Fueling - Cranking
Cranking Fuel Injector Pulse Width H (ECT)			2	16	3D	Fueling - Cranking
Hotstart Low Enrichment Activation Threshold (Intake Air Temperature)			1		2D	Fueling - Hotstart Enrichment
Hotstart Maximum Non-Idle Enrichment Delay			1		2D	Fueling - Hotstart Enrichment
Base Timing			18	15	3D	Ignition Timing - Advance
Base Timing C			18	15	3D	Ignition Timing - Advance
Base Timing D			18	15	3D	Ignition Timing - Advance
Base Timing E			18	15	3D	Ignition Timing - Advance
Base Timing F			18	15	3D	Ignition Timing - Advance
Base Timing G			18	15	3D	Ignition Timing - Advance
Base Timing H			18	15	3D	Ignition Timing - Advance
Base Timing Primary Cruise			18	15	3D	Ignition Timing - Advance
Base Timing Reference Cruise (AVCS related)			18	15	3D	Ignition Timing - Advance
Base Timing Primary Non-Cruise			18	15	3D	Ignition Timing - Advance
Base Timing Reference Non-Cruise (AVCS related)			18	15	3D	Ignition Timing - Advance
