name	dataaddr	tableaddr	sizey	sizex	type	category
Ignition Timing Post Start	11cb6e	e1c18	16		2D	Ignition Timing - Advance
Minimum Timing	11cba0	e1c2c	8		2D	Ignition Timing - Advance
Ignition Timing Compensation MAP Delta (Clutch Depressed)	11cc68		9		2D	Ignition Timing - Compensation
AFR Sensor Atmospheric Pressure Compensation	11d3d8		4		2D	Fueling - O2 Sensor #1
Minimum CFP Delta for Transient Retard	11df0c	e2538	8		2D	Ignition Timing - Transient
Ignition Timing Compensation Idle Target Out of Error Range A	11ea38		2	10	3D	Ignition Timing - Compensation
Ignition Timing Compensation Idle Target In Error Range A	11ea70		9	9	3D	Ignition Timing - Compensation
Ignition Timing Compensation Idle Target Load Change A	11eacc		2	9	3D	Ignition Timing - Compensation
Ignition Timing Compensation Idle Target In Error Range B	11eb2c		9	10	3D	Ignition Timing - Compensation
Ignition Timing Compensation Idle Target Load Change B	11ebb4		2	9	3D	Ignition Timing - Compensation
Transient Ignition Retard ECT Threshhold	11c5bc		1		2D	Ignition Timing - Transient
Transient Ignition Retard RPM Threshhold	11c5c0		1		2D	Ignition Timing - Transient
Transient Ignition Retard TPS Angle Threshhold	11c5c4		1		2D	Ignition Timing - Transient
Transient Ignition Retard Engine Load Threshhold	11c5c8		1		2D	Ignition Timing - Transient
Transient Ignition Retard	11ef28	e28d8	24	8	3D	Ignition Timing - Transient
Transient Ignition Retard Temperature Compensation	11ee38		7	16	3D	Ignition Timing - Transient
Desired Overrun Mass Airflow A	12233c		16	21	3D	Mass Airflow / Engine Load
Desired Overrun Mass Airflow C	1225ec		2	2	3D	Mass Airflow / Engine Load
Desired Overrun Mass Airflow B	122688		16	21	3D	Mass Airflow / Engine Load
Intake Cam Advance Angle Normal AVCS	12ab0c	e4a74	27	16	3D	Variable Valve Timing (AVCS)
Intake Cam Advance Angle Safe AVCS	12a8b0	e4a58	27	16	3D	Variable Valve Timing (AVCS)
Intake Cam Advance Angle Base AVCS	12ad4c	e4a90	24	12	3D	Variable Valve Timing (AVCS)
Exhaust Cam Retard Angle Normal AVCS	12b38c	e4b54	27	16	3D	Variable Valve Timing (AVCS)
Exhaust Cam Retard Angle Safe AVCS	12af80	e4b38	27	16	3D	Variable Valve Timing (AVCS)
Exhaust Cam Retard Angle Base AVCS	12a6bc	e4a04	24	12	3D	Variable Valve Timing (AVCS)
Intake Duty Correction A	12bad4	e4c50	10	9	3D	Variable Valve Timing (AVCS)
Intake Duty Correction B	12bbd4	e4c6c	10	9	3D	Variable Valve Timing (AVCS)
Intake Duty Correction C	12bcd4	e4c88	10	9	3D	Variable Valve Timing (AVCS)
Intake Duty Correction D	12bdd4	e4ca4	10	9	3D	Variable Valve Timing (AVCS)
Intake Duty Correction E	12be98	e4cc0	2	2	3D	Variable Valve Timing (AVCS)
Intake Duty Correction F	12beb0	e4cdc	2	2	3D	Variable Valve Timing (AVCS)
Intake Duty Correction AC Adjust A	129a7c	e46e8	16		2D	Variable Valve Timing (AVCS)
Intake Duty Correction AC Adjust B	129a2c	e46d4	16		2D	Variable Valve Timing (AVCS)
Intake Duty Correction BD Adjust A	129b1c	e4710	16		2D	Variable Valve Timing (AVCS)
Intake Duty Correction BD Adjust B	129acc	e46fc	16		2D	Variable Valve Timing (AVCS)
Intake Duty Correction EF Adjust	129b6c	e4724	16		2D	Variable Valve Timing (AVCS)
Intake Duty Correction E Adjust	129b84	e4738	2		2D	Variable Valve Timing (AVCS)
Intake Duty Correction F Adjust	129b90	e474c	2		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction A	12bfbc	e4d4c	11	9	3D	Variable Valve Timing (AVCS)
Exhaust Duty Correction B	12c0d4	e4d68	11	9	3D	Variable Valve Timing (AVCS)
Exhaust Duty Correction C	12c1ec	e4d84	11	9	3D	Variable Valve Timing (AVCS)
Exhaust Duty Correction D	12c304	e4da0	11	9	3D	Variable Valve Timing (AVCS)
Exhaust Duty Correction E	12bf4c	e4d14	2	2	3D	Variable Valve Timing (AVCS)
Exhaust Duty Correction F	12bf64	e4d30	2	2	3D	Variable Valve Timing (AVCS)
Exhaust Duty Correction AC Adjust A	129c24	e4774	16		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction AC Adjust B	129bd4	e4760	16		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction BD Adjust A	129cc4	e479c	16		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction BD Adjust B	129c74	e4788	16		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction EF Adjust	129d14	e47b0	16		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction E Adjust	129d2c	e47c4	2		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction F Adjust	129d38	e47d8	2		2D	Variable Valve Timing (AVCS)
AVCS Unknown ECT A1	12b788	e4bc4	21	16	3D	Variable Valve Timing (AVCS)
AVCS Unknown ECT A2	12a174	e4968	2	2	2D	Variable Valve Timing (AVCS)
AVCS Intake Unknown Adj H	129610	129610	4		2D	Variable Valve Timing (AVCS)
Minimum Port Injection Quantity	1118a4	1118a4	1		2D	Fueling - Port Injectors
Fuel Injection Ratio ECT Threshold A	1118d4	1118d4	2		2D	Fueling - Injector Ratio
Fuel Injection Ratio ECT Threshold B	1118e4	1118e4	2		2D	Fueling - Injector Ratio
Low Pulse Width Fuel Injector Compensation	112f20		8		2D	Fueling - Port Injectors
Low Pulse Width Fuel Injector Compensation Maximum RPM	111f78		1		2D	Fueling - Port Injectors
Low Pulse Width Fuel Injector Compensation Maximum IPW	111f7c		1		2D	Fueling - Port Injectors
Overrun Fueling RPM Resume Threshold	114890		16		2D	Fueling - Overrun
Overrun Enrich RPM Delta Activation	111fa8	111fa8	1		2D	Fueling - Overrun
Overrun initial injector enrichment (pulsewidth)	111fac		1		2D	Fueling - Overrun
Overrun Fueling Cut Counter RPM Threshold	112040	112040	5		2D	Fueling - Overrun
Hotstart Enrichment Decay Delay	111700	111700	1		2D	Fueling - Hotstart Enrichment
Hotstart Enrichment Decay Step	111ddc	111ddc	1		2D	Fueling - Hotstart Enrichment
Initial Hotstart Enrichment (High)	111dc8		1		2D	Fueling - Hotstart Enrichment
Hotstart High Enrichment Activation Threshold (Coolant Temperature)	111db8		1		2D	Fueling - Hotstart Enrichment
Hotstart High Enrichment Activation Threshold (Intake Air Temperature)	111dbc		1		2D	Fueling - Hotstart Enrichment
Initial Hotstart Enrichment (Low)	111dcc		1		2D	Fueling - Hotstart Enrichment
Hotstart Low Enrichment Activation Threshold (Coolant Temperature)	111dc0		1		2D	Fueling - Hotstart Enrichment
Maximum Non-Idle Hotstart Enrichment (Post Delay)	111de0		1		2D	Fueling - Hotstart Enrichment
Hotstart Minimum Enrichment Limit Runtime	111702	111702	1		2D	Fueling - Hotstart Enrichment
Hotstart Minimum Enrichment (During Delay and Runtime)	111dd8		1		2D	Fueling - Hotstart Enrichment
A/F #3 CL Target Compensation Limits	6a000		2		2D	Fueling - AF Correction / Learning
A/F #3 Correction Limits	6aaf0		2		2D	Fueling - AF Correction / Learning
U0155 fix for 2017-2019 USDM	cd12		2		Switch	Model Year Selection - Prevents U0155
